Acorn,Date,Conso_kWh_predict
ACORN-P,2014-01-12,7.309140205383301
ACORN-P,2014-01-13,7.316298007965088
ACORN-P,2014-01-14,7.492227077484131
ACORN-P,2014-01-15,7.545945644378662
ACORN-P,2014-01-16,7.5814361572265625
ACORN-P,2014-01-17,7.6103644371032715
ACORN-P,2014-01-18,7.550330638885498
ACORN-P,2014-01-19,7.5277323722839355
ACORN-P,2014-01-20,7.491666316986084
ACORN-P,2014-01-21,7.514767169952393
ACORN-P,2014-01-22,7.503780841827393
ACORN-P,2014-01-23,7.590950965881348
ACORN-P,2014-01-24,7.731313228607178
ACORN-P,2014-01-25,7.726978302001953
ACORN-P,2014-01-26,7.767444610595703
ACORN-P,2014-01-27,7.722741603851318
ACORN-P,2014-01-28,7.721325397491455
ACORN-P,2014-01-29,7.853338241577148
ACORN-P,2014-01-30,7.923567771911621
ACORN-P,2014-01-31,7.95381498336792
ACORN-P,2014-02-01,7.8383660316467285
ACORN-P,2014-02-02,7.805490493774414
ACORN-P,2014-02-03,7.763082027435303
ACORN-P,2014-02-04,7.737834930419922
ACORN-P,2014-02-05,7.650075912475586
ACORN-P,2014-02-06,7.491941928863525
ACORN-P,2014-02-07,7.415517330169678
ACORN-P,2014-02-08,7.485174179077148
ACORN-P,2014-02-09,7.5468058586120605
ACORN-P,2014-02-10,7.497795581817627
ACORN-P,2014-02-11,7.5485124588012695
ACORN-P,2014-02-12,7.593465805053711
ACORN-P,2014-02-13,7.63999605178833
ACORN-C,2014-01-12,13.38541030883789
ACORN-C,2014-01-13,13.05577564239502
ACORN-C,2014-01-14,13.033190727233887
ACORN-C,2014-01-15,13.036194801330566
ACORN-C,2014-01-16,13.021198272705078
ACORN-C,2014-01-17,13.142873764038086
ACORN-C,2014-01-18,13.113825798034668
ACORN-C,2014-01-19,13.225008964538574
ACORN-C,2014-01-20,12.938934326171875
ACORN-C,2014-01-21,13.050793647766113
ACORN-C,2014-01-22,13.006864547729492
ACORN-C,2014-01-23,13.090128898620605
ACORN-C,2014-01-24,13.23548698425293
ACORN-C,2014-01-25,13.228560447692871
ACORN-C,2014-01-26,13.428617477416992
ACORN-C,2014-01-27,13.405476570129395
ACORN-C,2014-01-28,13.42178726196289
ACORN-C,2014-01-29,13.732495307922363
ACORN-C,2014-01-30,13.911389350891113
ACORN-C,2014-01-31,14.11263656616211
ACORN-C,2014-02-01,13.975598335266113
ACORN-C,2014-02-02,13.69795036315918
ACORN-C,2014-02-03,13.26269245147705
ACORN-C,2014-02-04,13.114104270935059
ACORN-C,2014-02-05,13.370317459106445
ACORN-C,2014-02-06,13.50145435333252
ACORN-C,2014-02-07,13.64465618133545
ACORN-C,2014-02-08,13.833816528320312
ACORN-C,2014-02-09,14.094374656677246
ACORN-C,2014-02-10,13.687897682189941
ACORN-C,2014-02-11,13.598857879638672
ACORN-C,2014-02-12,13.735974311828613
ACORN-C,2014-02-13,13.815632820129395
ACORN-F,2014-01-12,10.66794204711914
ACORN-F,2014-01-13,10.347477912902832
ACORN-F,2014-01-14,10.416747093200684
ACORN-F,2014-01-15,10.428386688232422
ACORN-F,2014-01-16,10.4340181350708
ACORN-F,2014-01-17,10.530122756958008
ACORN-F,2014-01-18,10.474894523620605
ACORN-F,2014-01-19,10.54340648651123
ACORN-F,2014-01-20,10.332910537719727
ACORN-F,2014-01-21,10.473271369934082
ACORN-F,2014-01-22,10.446365356445312
ACORN-F,2014-01-23,10.553311347961426
ACORN-F,2014-01-24,10.715096473693848
ACORN-F,2014-01-25,10.701906204223633
ACORN-F,2014-01-26,10.806597709655762
ACORN-F,2014-01-27,10.692657470703125
ACORN-F,2014-01-28,10.685800552368164
ACORN-F,2014-01-29,10.968328475952148
ACORN-F,2014-01-30,11.158369064331055
ACORN-F,2014-01-31,11.30951976776123
ACORN-F,2014-02-01,11.185213088989258
ACORN-F,2014-02-02,10.99328327178955
ACORN-F,2014-02-03,10.660347938537598
ACORN-F,2014-02-04,10.5728759765625
ACORN-F,2014-02-05,10.673379898071289
ACORN-F,2014-02-06,10.690058708190918
ACORN-F,2014-02-07,10.796996116638184
ACORN-F,2014-02-08,10.914107322692871
ACORN-F,2014-02-09,11.096631050109863
ACORN-F,2014-02-10,10.752811431884766
ACORN-F,2014-02-11,10.74721908569336
ACORN-F,2014-02-12,10.898056030273438
ACORN-F,2014-02-13,10.989153861999512
