Acorn,Date,Conso_kWh_predict
ACORN-P,2014-01-13,8.486309262598105
ACORN-P,2014-01-14,8.208951973493855
ACORN-P,2014-01-15,7.227229318195732
ACORN-P,2014-01-16,7.9461827397989895
ACORN-P,2014-01-17,7.985913837079753
ACORN-P,2014-01-18,8.022487030542887
ACORN-P,2014-01-19,8.472352194610107
ACORN-P,2014-01-20,8.386650067169068
ACORN-P,2014-01-21,7.904671969004284
ACORN-P,2014-01-22,7.0404916412198455
ACORN-P,2014-01-23,7.733914769600722
ACORN-P,2014-01-24,7.842499146331363
ACORN-P,2014-01-25,7.530351410562125
ACORN-P,2014-01-26,8.022735379511609
ACORN-P,2014-01-27,8.345391102007794
ACORN-P,2014-01-28,7.772114675597669
ACORN-P,2014-01-29,7.7246607204516815
ACORN-P,2014-01-30,7.914563152271417
ACORN-P,2014-01-31,8.508464931813444
ACORN-P,2014-02-01,8.845680949152102
ACORN-P,2014-02-02,8.484246158992752
ACORN-P,2014-02-03,8.080185352808115
ACORN-P,2014-02-04,7.865555701688402
ACORN-P,2014-02-05,8.298042390285316
ACORN-P,2014-02-06,7.803264795301593
ACORN-P,2014-02-07,8.47902498818134
ACORN-P,2014-02-08,9.171866888645381
ACORN-P,2014-02-09,8.317323485001156
ACORN-P,2014-02-10,7.80932949996713
ACORN-P,2014-02-11,7.775911569314142
ACORN-P,2014-02-12,7.709252737439228
ACORN-P,2014-02-13,7.8724745466815795
ACORN-C,2014-01-13,13.576806484111648
ACORN-C,2014-01-14,13.888084334643656
ACORN-C,2014-01-15,13.386420388922907
ACORN-C,2014-01-16,12.623064688315802
ACORN-C,2014-01-17,13.48281764624485
ACORN-C,2014-01-18,12.808913538435766
ACORN-C,2014-01-19,13.700072040864763
ACORN-C,2014-01-20,13.937542166530234
ACORN-C,2014-01-21,13.659281142177
ACORN-C,2014-01-22,13.113970244636041
ACORN-C,2014-01-23,13.873685804030222
ACORN-C,2014-01-24,13.81726160877133
ACORN-C,2014-01-25,13.489715976099225
ACORN-C,2014-01-26,14.258319836909534
ACORN-C,2014-01-27,13.723783254513402
ACORN-C,2014-01-28,12.632403955996656
ACORN-C,2014-01-29,13.701031598446942
ACORN-C,2014-01-30,13.764543029328605
ACORN-C,2014-01-31,13.997270584190632
ACORN-C,2014-02-01,13.470385166508587
ACORN-C,2014-02-02,13.622044141635655
ACORN-C,2014-02-03,14.412887383378324
ACORN-C,2014-02-04,12.890186052560312
ACORN-C,2014-02-05,13.08196299782844
ACORN-C,2014-02-06,12.887016520320397
ACORN-C,2014-02-07,12.609097194126479
ACORN-C,2014-02-08,13.192024040871468
ACORN-C,2014-02-09,13.903443718703539
ACORN-C,2014-02-10,12.775285133390216
ACORN-C,2014-02-11,12.60066384096521
ACORN-C,2014-02-12,13.145520907936897
ACORN-C,2014-02-13,13.407198017481962
ACORN-F,2014-01-13,10.382501004120355
ACORN-F,2014-01-14,10.915352049334553
ACORN-F,2014-01-15,10.347972262544701
ACORN-F,2014-01-16,10.400077759060135
ACORN-F,2014-01-17,10.539390220883144
ACORN-F,2014-01-18,10.5760362381257
ACORN-F,2014-01-19,11.062417651653112
ACORN-F,2014-01-20,10.814515852439966
ACORN-F,2014-01-21,10.456254528231444
ACORN-F,2014-01-22,10.239916363963493
ACORN-F,2014-01-23,10.556952436556935
ACORN-F,2014-01-24,10.552749810875769
ACORN-F,2014-01-25,10.366634286230008
ACORN-F,2014-01-26,11.515001716011101
ACORN-F,2014-01-27,10.950662196818383
ACORN-F,2014-01-28,10.467634674659356
ACORN-F,2014-01-29,11.423364414239904
ACORN-F,2014-01-30,11.180157308074572
ACORN-F,2014-01-31,11.436671044115048
ACORN-F,2014-02-01,11.716870879409022
ACORN-F,2014-02-02,11.359889777409736
ACORN-F,2014-02-03,10.447680310319738
ACORN-F,2014-02-04,10.676072824545141
ACORN-F,2014-02-05,11.267693130314946
ACORN-F,2014-02-06,10.63316339437314
ACORN-F,2014-02-07,10.647077775850562
ACORN-F,2014-02-08,11.648563484110598
ACORN-F,2014-02-09,12.12903605180233
ACORN-F,2014-02-10,10.769598382966285
ACORN-F,2014-02-11,10.576946889212811
ACORN-F,2014-02-12,11.13355219335648
ACORN-F,2014-02-13,10.725427352352265
