Acorn,Date,Conso_kWh_predict
ACORN-P,2014-01-12,6.9112988119288
ACORN-P,2014-01-13,6.727457659458583
ACORN-P,2014-01-14,6.719710045617903
ACORN-P,2014-01-15,6.706357441076661
ACORN-P,2014-01-16,6.73322274492352
ACORN-P,2014-01-17,6.8055749689383145
ACORN-P,2014-01-18,6.785653757373718
ACORN-P,2014-01-19,6.873959530837135
ACORN-P,2014-01-20,6.645779113898355
ACORN-P,2014-01-21,6.692294322875655
ACORN-P,2014-01-22,6.700101220435374
ACORN-P,2014-01-23,6.717535011470652
ACORN-P,2014-01-24,6.790169813932254
ACORN-P,2014-01-25,6.756431016985831
ACORN-P,2014-01-26,6.885530873594242
ACORN-P,2014-01-27,6.722982791001481
ACORN-P,2014-01-28,6.69330201981568
ACORN-P,2014-01-29,6.681491192857583
ACORN-P,2014-01-30,6.784985684372551
ACORN-P,2014-01-31,6.880796068314871
ACORN-P,2014-02-01,6.842904505263612
ACORN-P,2014-02-02,6.925739177166707
ACORN-P,2014-02-03,6.759562128174725
ACORN-P,2014-02-04,6.714515967896113
ACORN-P,2014-02-05,6.780780080941791
ACORN-P,2014-02-06,6.791612064838726
ACORN-P,2014-02-07,6.819459139302988
ACORN-P,2014-02-08,6.843888592209547
ACORN-P,2014-02-09,6.964281127935763
ACORN-P,2014-02-10,6.729373433577073
ACORN-P,2014-02-11,6.6919681811771135
ACORN-P,2014-02-12,6.742669459156526
ACORN-P,2014-02-13,6.809253247219422
ACORN-C,2014-01-12,13.128042209951676
ACORN-C,2014-01-13,12.140809762006164
ACORN-C,2014-01-14,12.230476279796063
ACORN-C,2014-01-15,12.469844042753241
ACORN-C,2014-01-16,12.616394173868228
ACORN-C,2014-01-17,12.747555674959944
ACORN-C,2014-01-18,12.832462489191172
ACORN-C,2014-01-19,13.093455953100047
ACORN-C,2014-01-20,12.089976506840607
ACORN-C,2014-01-21,12.274830642209285
ACORN-C,2014-01-22,12.276939063128596
ACORN-C,2014-01-23,12.540672596880544
ACORN-C,2014-01-24,12.834029020357926
ACORN-C,2014-01-25,13.012347992073062
ACORN-C,2014-01-26,13.17041520587827
ACORN-C,2014-01-27,12.610355445884382
ACORN-C,2014-01-28,12.628562574828715
ACORN-C,2014-01-29,12.833845480854391
ACORN-C,2014-01-30,13.247268204857551
ACORN-C,2014-01-31,13.433081399084983
ACORN-C,2014-02-01,13.129850048508377
ACORN-C,2014-02-02,13.082223661103916
ACORN-C,2014-02-03,12.571110468476478
ACORN-C,2014-02-04,12.453843773681799
ACORN-C,2014-02-05,12.871276866001548
ACORN-C,2014-02-06,13.093745862108733
ACORN-C,2014-02-07,13.20613897125557
ACORN-C,2014-02-08,13.558226228372877
ACORN-C,2014-02-09,13.634677391289895
ACORN-C,2014-02-10,12.710386962210878
ACORN-C,2014-02-11,12.6310362789155
ACORN-C,2014-02-12,12.956901904623834
ACORN-C,2014-02-13,13.052656911069901
ACORN-F,2014-01-12,5.1166583529657785
ACORN-F,2014-01-13,4.191476619938944
ACORN-F,2014-01-14,4.206422582703406
ACORN-F,2014-01-15,4.312924265068406
ACORN-F,2014-01-16,4.4761821911375455
ACORN-F,2014-01-17,4.653785973343133
ACORN-F,2014-01-18,4.859061023728265
ACORN-F,2014-01-19,5.033866587451151
ACORN-F,2014-01-20,4.108744019283192
ACORN-F,2014-01-21,4.22963448718148
ACORN-F,2014-01-22,4.2633962369256295
ACORN-F,2014-01-23,4.405447774749776
ACORN-F,2014-01-24,4.669276990774224
ACORN-F,2014-01-25,4.857856105314515
ACORN-F,2014-01-26,5.077112443417233
ACORN-F,2014-01-27,4.3158869312228205
ACORN-F,2014-01-28,4.2864471205677335
ACORN-F,2014-01-29,4.368950119909098
ACORN-F,2014-01-30,4.652202185550071
ACORN-F,2014-01-31,4.922572980391389
ACORN-F,2014-02-01,4.942355551104743
ACORN-F,2014-02-02,4.964081143411855
ACORN-F,2014-02-03,4.252834484358693
ACORN-F,2014-02-04,4.251528878414881
ACORN-F,2014-02-05,4.5146452635646135
ACORN-F,2014-02-06,4.570013294147155
ACORN-F,2014-02-07,4.763382731277142
ACORN-F,2014-02-08,4.994248431818498
ACORN-F,2014-02-09,5.228922412874798
ACORN-F,2014-02-10,4.249768906257232
ACORN-F,2014-02-11,4.2394271126578555
ACORN-F,2014-02-12,4.4490303207647575
ACORN-F,2014-02-13,4.556162766291487
