Acorn,Date,Conso_kWh_predict
ACORN-P,2014-01-13,7.7693926436708205
ACORN-P,2014-01-14,8.027813610539736
ACORN-P,2014-01-15,7.783975274651141
ACORN-P,2014-01-16,7.78362649203738
ACORN-P,2014-01-17,7.853773480146344
ACORN-P,2014-01-18,7.829491845333699
ACORN-P,2014-01-19,8.092696173856071
ACORN-P,2014-01-20,7.957432703950936
ACORN-P,2014-01-21,7.986356789343827
ACORN-P,2014-01-22,7.851366876176491
ACORN-P,2014-01-23,7.8324504771802435
ACORN-P,2014-01-24,7.9246902683386
ACORN-P,2014-01-25,7.666865003463334
ACORN-P,2014-01-26,8.048905352752191
ACORN-P,2014-01-27,8.020031470382571
ACORN-P,2014-01-28,8.02508064549049
ACORN-P,2014-01-29,8.211279000106288
ACORN-P,2014-01-30,8.176259631258153
ACORN-P,2014-01-31,7.965911596397343
ACORN-P,2014-02-01,7.775947381487903
ACORN-P,2014-02-02,7.864438402811326
ACORN-P,2014-02-03,7.847111943032595
ACORN-P,2014-02-04,7.79475369855008
ACORN-P,2014-02-05,7.850845244187759
ACORN-P,2014-02-06,7.837978419909948
ACORN-P,2014-02-07,7.823509537226901
ACORN-P,2014-02-08,7.823638158438246
ACORN-P,2014-02-09,8.038141910452211
ACORN-P,2014-02-10,7.967764969854267
ACORN-P,2014-02-11,7.892445709171499
ACORN-P,2014-02-12,7.8477736358059715
ACORN-P,2014-02-13,7.924612191346608
ACORN-C,2014-01-13,13.78605695478881
ACORN-C,2014-01-14,13.73142217831238
ACORN-C,2014-01-15,13.660912801610623
ACORN-C,2014-01-16,13.528551342284205
ACORN-C,2014-01-17,13.933820288716678
ACORN-C,2014-01-18,13.863831150691578
ACORN-C,2014-01-19,14.086966650242399
ACORN-C,2014-01-20,13.589178175808149
ACORN-C,2014-01-21,13.777854845320036
ACORN-C,2014-01-22,13.499835709779674
ACORN-C,2014-01-23,13.507662253139149
ACORN-C,2014-01-24,13.786991241924497
ACORN-C,2014-01-25,13.630425354338136
ACORN-C,2014-01-26,14.282486201939943
ACORN-C,2014-01-27,13.879710546952827
ACORN-C,2014-01-28,13.744651596405706
ACORN-C,2014-01-29,13.890340597913422
ACORN-C,2014-01-30,14.052985167301342
ACORN-C,2014-01-31,14.073309534476937
ACORN-C,2014-02-01,13.549699979857548
ACORN-C,2014-02-02,13.849192635257575
ACORN-C,2014-02-03,13.589013504413593
ACORN-C,2014-02-04,13.2965070751339
ACORN-C,2014-02-05,13.31523061890863
ACORN-C,2014-02-06,13.372690809136289
ACORN-C,2014-02-07,13.355186717920262
ACORN-C,2014-02-08,13.644187823060625
ACORN-C,2014-02-09,14.012695423084613
ACORN-C,2014-02-10,13.624799047951827
ACORN-C,2014-02-11,13.352562643795524
ACORN-C,2014-02-12,13.247801480014061
ACORN-C,2014-02-13,13.375462561151387
ACORN-F,2014-01-13,11.186835897015998
ACORN-F,2014-01-14,10.972499715519055
ACORN-F,2014-01-15,10.91385469292359
ACORN-F,2014-01-16,10.914751574852737
ACORN-F,2014-01-17,11.137214451211959
ACORN-F,2014-01-18,11.273976674967567
ACORN-F,2014-01-19,11.366029756736978
ACORN-F,2014-01-20,10.863028055919644
ACORN-F,2014-01-21,11.001325718242452
ACORN-F,2014-01-22,10.708578721854597
ACORN-F,2014-01-23,10.79304408932774
ACORN-F,2014-01-24,10.996934677392883
ACORN-F,2014-01-25,10.97642707704636
ACORN-F,2014-01-26,11.597501525928948
ACORN-F,2014-01-27,11.119972813984097
ACORN-F,2014-01-28,11.189430912285454
ACORN-F,2014-01-29,11.204162762536416
ACORN-F,2014-01-30,11.82668854390154
ACORN-F,2014-01-31,11.128430640780993
ACORN-F,2014-02-01,11.13512721030984
ACORN-F,2014-02-02,11.426558343358181
ACORN-F,2014-02-03,10.717003318529109
ACORN-F,2014-02-04,10.75345331947724
ACORN-F,2014-02-05,10.88734890024618
ACORN-F,2014-02-06,10.791975977328766
ACORN-F,2014-02-07,10.552455496476407
ACORN-F,2014-02-08,11.398515698634903
ACORN-F,2014-02-09,11.556048569662117
ACORN-F,2014-02-10,10.759220599422095
ACORN-F,2014-02-11,10.951659408312008
ACORN-F,2014-02-12,10.900880006591217
ACORN-F,2014-02-13,10.898746389578235
