Acorn,Date,Conso_kWh_predict
ACORN-Q,2014-01-13,
ACORN-Q,2014-01-14,
ACORN-Q,2014-01-15,
ACORN-Q,2014-01-16,
ACORN-Q,2014-01-17,
ACORN-Q,2014-01-18,
ACORN-Q,2014-01-19,
ACORN-Q,2014-01-20,
ACORN-Q,2014-01-21,
ACORN-Q,2014-01-22,
ACORN-Q,2014-01-23,
ACORN-Q,2014-01-24,
ACORN-Q,2014-01-25,
ACORN-Q,2014-01-26,
ACORN-Q,2014-01-27,
ACORN-Q,2014-01-28,
ACORN-Q,2014-01-29,
ACORN-Q,2014-01-30,
ACORN-Q,2014-01-31,
ACORN-Q,2014-02-01,
ACORN-Q,2014-02-02,
ACORN-Q,2014-02-03,
ACORN-Q,2014-02-04,
ACORN-Q,2014-02-05,
ACORN-Q,2014-02-06,
ACORN-Q,2014-02-07,
ACORN-Q,2014-02-08,
ACORN-Q,2014-02-09,
ACORN-Q,2014-02-10,
ACORN-Q,2014-02-11,
ACORN-Q,2014-02-12,
ACORN-Q,2014-02-13,
ACORN-E,2014-01-13,
ACORN-E,2014-01-14,
ACORN-E,2014-01-15,
ACORN-E,2014-01-16,
ACORN-E,2014-01-17,
ACORN-E,2014-01-18,
ACORN-E,2014-01-19,
ACORN-E,2014-01-20,
ACORN-E,2014-01-21,
ACORN-E,2014-01-22,
ACORN-E,2014-01-23,
ACORN-E,2014-01-24,
ACORN-E,2014-01-25,
ACORN-E,2014-01-26,
ACORN-E,2014-01-27,
ACORN-E,2014-01-28,
ACORN-E,2014-01-29,
ACORN-E,2014-01-30,
ACORN-E,2014-01-31,
ACORN-E,2014-02-01,
ACORN-E,2014-02-02,
ACORN-E,2014-02-03,
ACORN-E,2014-02-04,
ACORN-E,2014-02-05,
ACORN-E,2014-02-06,
ACORN-E,2014-02-07,
ACORN-E,2014-02-08,
ACORN-E,2014-02-09,
ACORN-E,2014-02-10,
ACORN-E,2014-02-11,
ACORN-E,2014-02-12,
ACORN-E,2014-02-13,
ACORN-F,2014-01-13,
ACORN-F,2014-01-14,
ACORN-F,2014-01-15,
ACORN-F,2014-01-16,
ACORN-F,2014-01-17,
ACORN-F,2014-01-18,
ACORN-F,2014-01-19,
ACORN-F,2014-01-20,
ACORN-F,2014-01-21,
ACORN-F,2014-01-22,
ACORN-F,2014-01-23,
ACORN-F,2014-01-24,
ACORN-F,2014-01-25,
ACORN-F,2014-01-26,
ACORN-F,2014-01-27,
ACORN-F,2014-01-28,
ACORN-F,2014-01-29,
ACORN-F,2014-01-30,
ACORN-F,2014-01-31,
ACORN-F,2014-02-01,
ACORN-F,2014-02-02,
ACORN-F,2014-02-03,
ACORN-F,2014-02-04,
ACORN-F,2014-02-05,
ACORN-F,2014-02-06,
ACORN-F,2014-02-07,
ACORN-F,2014-02-08,
ACORN-F,2014-02-09,
ACORN-F,2014-02-10,
ACORN-F,2014-02-11,
ACORN-F,2014-02-12,
ACORN-F,2014-02-13,
